accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ, timestamp
-0.04, -0.03, 1.29, -31.46, 1.95, -9.45, 0.21, -0.01, 0.42, 38623
-0.04, -0.02, 1.22, -34.94, 0.79, -8.72, 0.21, -0.01, 0.42, 38633
-0.04, -0.01, 1.18, -38.11, 2.26, -6.95, 0.21, -0.01, 0.43, 38643
-0.06, -0.01, 1.12, -42.32, 4.76, -6.71, 0.21, -0.00, 0.43, 38653
-0.03, -0.00, 1.03, -45.91, 9.45, -6.83, 0.21, 0.00, 0.43, 38663
-0.02, 0.02, 0.89, -45.73, 10.91, -4.63, 0.22, 0.01, 0.43, 38673
-0.07, 0.00, 0.76, -41.34, 16.10, -3.84, 0.22, 0.01, 0.43, 38683
-0.08, -0.01, 0.74, -35.49, 18.17, -6.59, 0.23, 0.01, 0.43, 38693
-0.02, -0.01, 0.66, -33.17, 19.09, -8.72, 0.23, 0.01, 0.43, 38703
0.04, -0.02, 0.59, -28.23, 19.39, -7.62, 0.22, 0.02, 0.43, 38713
